# Serializing assets/vocabularies/multilingual/latest/multilingual.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/multilingual
# title: Multilingual
# version: 20210616-0
# description: Multilingual
key,url,deprecated,country_code,label_en,label_it
7X0,http://publications.europa.eu/resource/authority/multilingual/7X0,false,7X0,Multilingual Code,
7Y0,http://publications.europa.eu/resource/authority/multilingual/7Y0,false,7Y0,Multilingual Code,
7Z0,http://publications.europa.eu/resource/authority/multilingual/7Z0,false,7Z0,Multilingual Code,
800,http://publications.europa.eu/resource/authority/multilingual/800,false,800,Multilingual Code,
810,http://publications.europa.eu/resource/authority/multilingual/810,false,810,Multilingual Code,
820,http://publications.europa.eu/resource/authority/multilingual/820,false,820,Multilingual Code,
830,http://publications.europa.eu/resource/authority/multilingual/830,false,830,Multilingual Code,
840,http://publications.europa.eu/resource/authority/multilingual/840,false,840,Multilingual Code,
850,http://publications.europa.eu/resource/authority/multilingual/850,false,850,Multilingual Code,
860,http://publications.europa.eu/resource/authority/multilingual/860,false,860,Multilingual Code,
870,http://publications.europa.eu/resource/authority/multilingual/870,false,870,Multilingual Code,
880,http://publications.europa.eu/resource/authority/multilingual/880,false,880,Multilingual Code,
890,http://publications.europa.eu/resource/authority/multilingual/890,false,890,Multilingual Code,
8A0,http://publications.europa.eu/resource/authority/multilingual/8A0,false,8A0,Multilingual Code,
8B0,http://publications.europa.eu/resource/authority/multilingual/8B0,false,8B0,Multilingual Code,
8C0,http://publications.europa.eu/resource/authority/multilingual/8C0,false,8C0,Multilingual Code,
8D0,http://publications.europa.eu/resource/authority/multilingual/8D0,false,8D0,Multilingual Code,
8E0,http://publications.europa.eu/resource/authority/multilingual/8E0,false,8E0,Multilingual Code,
8F0,http://publications.europa.eu/resource/authority/multilingual/8F0,false,8F0,Multilingual Code,
8G0,http://publications.europa.eu/resource/authority/multilingual/8G0,false,8G0,Multilingual Code,
8H0,http://publications.europa.eu/resource/authority/multilingual/8H0,false,8H0,Multilingual Code,
8I0,http://publications.europa.eu/resource/authority/multilingual/8I0,false,8I0,Multilingual Code,
